nombre foto,nombre negocio,link,giro,ubicacion_google_maps,mapa_html,coordenadas,membresia_negocio,pago
sigsa,SIGSA,https://www.sigsa.info,Servicios,https://maps.app.goo.gl/KHJaS5sCzxzewnd3A,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d15086.00865027039!2d-98.2109888!3d19.0416467!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e3b0f0404f%3A0xb13c2adf4f4792!2sSIGSA%2018!5e0!3m2!1ses!2smx!4v1782161804376!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","19.0500423845956, -98.19223761410326",pequeña,transferencia
sportips,Sportips,https://www.facebook.com/SportTipsPuebla,Ropa y Calzado,https://maps.app.goo.gl/4rJpYdwtbyyN6sbaA,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3771.371884626653!2d-98.198544!3d19.0473802!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e0b1032ce5%3A0x7f5c15039c1434be!2sSportips%20Puebla!5e0!3m2!1ses!2smx!4v1782161816864!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","19.04737633931117, -98.1985512665518",pequeña,transferencia
subway,Subway,https://restaurantes.subway.com/subway-puebla-puebla-57908,Alimentos y Bebidas,https://maps.app.goo.gl/jZY4aoP6Vf85J5aU6,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3771.441387557742!2d-98.198787!3d19.044321599999996!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e7852cfc7f%3A0xf83761ecb152b66e!2sSubway!5e0!3m2!1ses!2smx!4v1782161832329!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","19.04429687073366, -98.19872920728211",pequeña,transferencia 
sueno,Hotel El Sueño,https://www.elsueno-hotel.com,Hotel,https://maps.app.goo.gl/GinmCfGJ8WzbmYJ17,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d3771.516423021584!2d-98.2021041!3d19.041019!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc10760789f11%3A0xc9f25b29bae305a9!2sHotel%20El%20Sue%C3%B1o!5e0!3m2!1ses!2smx!4v1782161848519!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","19.040995847020643, -98.19953109025492",pequeña,transferencia 
tina,Tina Valente,https://www.instagram.com/tinavalentedesigner/,Arte,https://maps.app.goo.gl/MewipnmCnR2S5Ufv6,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3771.499245445888!2d-98.1959292!3d19.0417751!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e6292339db%3A0x44049441e8b3f8ac!2sCasa%20de%20Innovaci%C3%B3n%20y%20Dise%C3%B1o%20Artesano%20TINA%20VALENTE!5e0!3m2!1ses!2smx!4v1782161859795!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","19.041811845978817, -98.1962329636083",mediana,transferencia
turisticos,Turísticos Poblanos,https://turisticospoblanos.com,Tours,https://maps.app.goo.gl/cnRDPx45Nb7mRu7y5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d15086.225993794042!2d-98.2139345!3d19.0392549!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e7b1df3013%3A0x224b6b454ef27cb2!2sMODULO%20CAV%20TURISTICOS%20POBLANOS!5e0!3m2!1ses!2smx!4v1782161870582!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","19.043646926387236, -98.19715527095904",pequeña,transferencia
upaep,Hospital CHRISTUS MUGUERZA UPAEP,https://christusmuguerza.com.mx/hospital-upaep/?utm_source=google_my_business,Hospital,https://maps.app.goo.gl/8TGdJjaLLtg9yYqP8,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d7542.831217383081!2d-98.205232!3d19.045456100000003!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0db8c88a509%3A0x32e7e79997867ce6!2sHospital%20CHRISTUS%20MUGUERZA%20UPAEP!5e0!3m2!1ses!2smx!4v1782161882513!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","19.04571768047887, -98.20513024251548",gran,transferencia
vittorios,Vittorio's,https://restaurantevittorios.com,Alimentos y Bebidas,https://maps.app.goo.gl/roxPBsFNgDSx9p9D8,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3771.465951657595!2d-98.19725629999999!3d19.043240499999996!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85d3451384e83f8f%3A0x69e9566aa1be70e6!2sVittorio&#39;s%20Z%C3%B3calo%20Puebla!5e0!3m2!1ses!2smx!4v1782161894617!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","19.043287756120066, -98.19736085319364",mediana,transferencia
zocalos,Zócalo Restaurante,https://www.facebook.com/zocaloskaraoke/?locale=es_LA,Alimentos y Bebidas,https://maps.app.goo.gl/ruQJLquULrNsbk9e6,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d3771.4441982623002!2d-98.1989915!3d19.0441979!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e79d457fcd%3A0x1645764aedf8c407!2sZocalos%20Bar%20Puebla!5e0!3m2!1ses!2smx!4v1782161905616!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","19.044124989201507, -98.19882909383479",pequeña,transferencia
sultan,El Sultán Taquería Oriental,https://www.facebook.com/taqueriaelsultanpuebla/?locale=es_LA,Alimentos y Bebidas,https://maps.app.goo.gl/3VHdghswBE2U1UUm7,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3771.4489413607917!2d-98.20151522395746!3d19.043989152975108!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e776a68ff7%3A0xea5a9f3567778809!2sTaquer%C3%ADa%20Oriental%20El%20Sult%C3%A1n!5e0!3m2!1ses!2smx!4v1782334438067!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>","19.044586354245578, -98.19850971759914",mediana,transferencia
