NOMBRE,LINK MAPS,HTML
CasaReyna,https://maps.app.goo.gl/gHakinAqTRikbH4S8,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d9576.062536745489!2d-98.1911111!3d19.041944399999995!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e581ea2db5%3A0xdbebcdaa8c39ad25!2sCASAREYNA%20Hotel%20-%20Restaurante!5e1!3m2!1ses-419!2smx!4v1782598132122!5m2!1ses-419!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Catedral,https://maps.app.goo.gl/LFeTNLRzPusTjUkV6,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d7542.947812260138!2d-98.1983291!3d19.042890399999997!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc6280aa50887%3A0x5b21261581c701c5!2sCatedral%20de%20Nuestra%20Se%C3%B1ora%20de%20la%20Inmaculada%20Concepci%C3%B3n%20de%20Puebla!5e0!3m2!1ses!2smx!4v1782598146636!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Centro de Convenciones,https://maps.app.goo.gl/y3gJbHCnUsThEZgp9,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d9575.988189013624!2d-98.19164289999999!3d19.0432332!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc1580b2b0cd9%3A0x6e8cbe35c02540a0!2sCentro%20de%20Convenciones!5e1!3m2!1ses-419!2smx!4v1782598174442!5m2!1ses-419!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Palacio Episcopal,https://maps.app.goo.gl/Rydi1EJhDrJmx6cd8,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d942.8717169787644!2d-98.2004786!3d19.0423199!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e7f4f1d1f9%3A0xbec716dc7aac5f3e!2sCorreos%20de%20M%C3%A9xico%20%2F%20Catedral%2C%20Puebla%2C%20Pue.!5e0!3m2!1ses!2smx!4v1782598214159!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Fábrica de Vidrio,https://maps.app.goo.gl/JgXvcSbg6STKiJBC8,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4788.076936300226!2d-98.19220840000001!3d19.040361000000004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc14398bd7acf%3A0x7f9c6431f7fe793b!2sF%C3%A1brica%20de%20Vidrio%20la%20Luz!5e1!3m2!1ses-419!2smx!4v1782598283030!5m2!1ses-419!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Mural de los Poblanos,https://maps.app.goo.gl/7PUzZCpZbqiYRo127,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d245.44445452048004!2d-98.19989989680543!3d19.042116650175316!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0ee6acabbc3%3A0xfbf87c1c2a54522c!2sMural%20de%20los%20Poblanos!5e0!3m2!1ses!2smx!4v1782598318670!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Fuente de los Leones,https://maps.app.goo.gl/DbtC3gBStLnHigLw6,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4787.925555331344!2d-98.1894865!3d19.045609199999998!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc124423be971%3A0xad6e63ca36a791c2!2sFuente%20de%20los%20leones!5e1!3m2!1ses-419!2smx!4v1782598360708!5m2!1ses-419!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Museo Regional de la Revolución Mexicana,https://maps.app.goo.gl/n2EJbM3GoseBviKm7,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3771.4042559779373!2d-98.1951981!3d19.0459557!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e694c26897%3A0xa1cc807e72956810!2sMuseo%20Regional%20de%20la%20Revoluci%C3%B3n%20Mexicana%20-%20Puebla!5e0!3m2!1ses!2smx!4v1782598388909!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Hotel Colonial,https://maps.app.goo.gl/AWsc1nQRzNbsgAhw5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3771.4837598471468!2d-98.19609319999999!3d19.0424567!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e63a13e4ff%3A0xf8b98b985018b14f!2sHotel%20Colonial%20De%20Puebla!5e0!3m2!1ses!2smx!4v1782598413561!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
La Compañía de Jesús,https://maps.app.goo.gl/qiz6X2gVFbjNvqyT6,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d15085.549541772509!2d-98.207793!3d19.0466981!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e63bff00ad%3A0x826c495a496d11de!2sTemplo%20Expiatorio%20del%20Esp%C3%ADritu%20Santo%20(La%20Compa%C3%B1%C3%ADa)!5e0!3m2!1ses!2smx!4v1782598436576!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
